TransactionID,SaleDate,ItemTitle,SalePrice,SalesChannel,Country,Quantity,Brand,Category,SaleYear,SaleMonth
2150,2024-06-16,Chanel DAD SANDALS Green SUEDE LEATHER SANDAL Size 37 BNIB,1499.0,Organic,United States,1,Chanel,Shoes,2024,June
2149,2024-06-12,*BNIB* Hermes Orange Shopping Bag Charm Milo Lambskin In Feu/Gold,382.0,Organic,United States,1,Hermès,Handbag,2024,June
2148,2024-06-11,NEW Loro Piana Nautical Charms Walk Babouche Loafers Crocodile Strap 37.5 RARE,2493.0,Organic,United States,1,Other,Shoes,2024,June
2147,2024-06-11,NEW Chanel 24P Blue Jeans Denim Jacket CC Logo Size 36,5850.0,Organic,United States,1,Chanel,Other,2024,June
2146,2024-06-07,BNIB Loro Piana Extra Pocket L19 Vanity Pouch Crossbody Bag Wicker Bag In White,6840.0,Organic,United States,1,Other,Handbag,2024,June
2145,2024-06-07,Hermes Odyssey Losange Cashmere Shawl Large Model - Unisex,699.0,Organic,United States,1,Hermès,Other,2024,June
2144,2024-06-02,Hermes Shirt Dress in color Blanc/white Cotton Twill Size 36 NEW 60% OFF RETAIL,882.0,Organic,United States,1,Hermès,Other,2024,June
2141,2024-06-01,BNIB Hermes Double Cashmere Manteau Double Porte A3 Blanc Nature Size 36 $12K,5995.0,Organic,United States,1,Hermès,Other,2024,June
2140,2024-06-01,Chanel Wallet on Chain Metier D’art Shiny Calfskin Caviar  In Burgundy Gold HW,3870.0,Organic,United States,1,Chanel,Accessories,2024,June
2139,2024-06-01,Hermes SS24/25 Supple Blazer/Jacket In Rouge H size 36 BNIB Over $4K Retail!,2385.0,Organic,United States,1,Hermès,Other,2024,June
2138,2024-05-30,BNIB Chanel Crop Top NL878 Black/White SS 23C Cruise Collection Size 34,2100.0,Promoted,United States,1,Chanel,Other,2024,May
2137,2024-05-26,BNIB Hermes Oasis Sandal in Brown Gold Calfskin - Gold Size 38,693.0,Organic,United States,1,Hermès,Other,2024,May
2136,2024-05-26,Prada Calzature Donna  Sandals Gold Leather Straps Monolith Rubber Sole Size 38,981.0,Organic,United States,1,Prada,Shoes,2024,May
2135,2024-05-25,NEW Hermes Tess Kelly Buckle Plein Air cap Gold Size 57 Leather With Palladium,990.0,Organic,United States,1,Hermès,Handbag,2024,May
2134,2024-05-23,NEW Hermes Robe Droite In Brides De Gala Straight Dress Noir 36,499.0,Organic,United States,1,Hermès,Other,2024,May
2133,2024-05-19,Hermes Jacket Paletot inspiration Aviateur vert gobi size 34 leather & Fur $9K,2900.0,Organic,United States,1,Hermès,Other,2024,May
2132,2024-05-18,Brand New Hermès Lindy 26 Mauve Pink Sylvestre Clemence Palladium Hardware U,9890.0,Organic,United States,1,Hermès,Other,2024,May
2130,2024-05-17,Hermes 18K Kelly Gavroche Diamonds Rose Gold Earrings BNIB $16K,9230.0,Organic,Canada,1,Hermès,Handbag,2024,May
2131,2024-05-16,*BNIB* Hermes Rodeo PM Bag Charm Limited Edition So Black Milo Lambskin,585.0,Organic,United States,1,Hermès,Handbag,2024,May
2129,2024-05-16,Hermes Calfskin Thigh High Boots in Black With Palladium Kelly Buckle Size 38,2999.0,Promoted,United States,1,Hermès,Handbag,2024,May
2099,2024-04-06,Chanel Zipper Coin Purse in Beige,810.0,Organic,United States,1,Chanel,Other,2024,April
2128,2024-05-15,"BNIB Hermès H08 watch, 42 mm Bleu Rubber Band Titanium Case Water Resistant",5000.0,Organic,United States,1,Hermès,Watch,2024,May
2127,2024-05-15,Goyard Saint-Sulpice Card Wallet BNIB,440.0,Organic,United States,1,Goyard,Accessories,2024,May
2126,2024-05-13,BNIB Hermes Santorini Sandal In Rose Pale Pink Epsom Leather Size 38,684.0,Organic,United States,1,Hermès,Other,2024,May
2125,2024-05-12,BNIB HERMES Jungle Love Silk Muffler Scarf Noir/blanc,274.0,Organic,United States,1,Hermès,Accessories,2024,May
2124,2024-05-08,BNIB Hermes Eperon d'Or Bandana Twilly Blanc / Marine / Noir,169.0,Organic,United States,1,Hermès,Other,2024,May
2123,2024-05-06,BNIB Hermes Cotton Jersey Embroidered Pocket Straight tshirt in bleu beton sz 38,143.05,Organic,United States,1,Hermès,Other,2024,May
2122,2024-05-06,BNIB HERMES MOSAIQUE AU 24 GOLD BREAD & BUTTER PLATE Sold In 1 Pc,99.0,Organic,United States,1,Hermès,Other,2024,May
2121,2024-05-05,BNIB Chanel Kelly Shopping Bag Shiny Calfskin & Gold-Tone Pink Big Size,5995.0,Organic,United States,1,Chanel,Handbag,2024,May
